date;num0;num1;num2;num3;num4
21/09/2024;32;30;4;2;19
18/09/2024;2;44;42;47;23
16/09/2024;27;31;48;30;17
14/09/2024;15;32;11;49;6
11/09/2024;28;30;10;39;24
09/09/2024;18;8;41;17;3
07/09/2024;48;43;31;9;15
04/09/2024;4;2;26;22;40
02/09/2024;27;12;26;6;5
31/08/2024;43;18;28;40;14
28/08/2024;42;30;11;33;37
26/08/2024;6;28;3;12;24
24/08/2024;13;29;30;20;36
21/08/2024;3;20;15;31;19
19/08/2024;10;18;20;19;28
17/08/2024;3;4;22;48;49
14/08/2024;25;17;46;28;23
12/08/2024;16;18;45;38;31
10/08/2024;36;31;37;28;17
07/08/2024;27;47;24;39;46
05/08/2024;24;21;7;31;27
03/08/2024;47;4;2;14;34
31/07/2024;25;3;45;47;49
29/07/2024;20;22;32;34;31
27/07/2024;21;8;28;42;47
24/07/2024;40;11;18;8;47
22/07/2024;49;35;25;27;42
20/07/2024;5;30;16;47;15
17/07/2024;35;40;17;6;47
15/07/2024;4;10;30;38;24
13/07/2024;21;5;6;24;42
10/07/2024;16;3;5;39;11
08/07/2024;7;42;31;8;24
06/07/2024;46;13;47;18;34
03/07/2024;4;1;24;21;42
01/07/2024;22;7;28;6;3
29/06/2024;17;24;30;43;1
26/06/2024;21;10;38;41;25
24/06/2024;48;47;6;45;1
22/06/2024;10;34;25;38;29
19/06/2024;35;11;18;46;30
17/06/2024;28;6;11;46;25
15/06/2024;8;16;42;30;40
12/06/2024;28;3;6;33;13
10/06/2024;47;5;34;28;39
08/06/2024;35;39;18;43;31
05/06/2024;4;6;35;47;7
03/06/2024;9;15;39;49;48
01/06/2024;27;2;48;43;3
29/05/2024;10;19;28;38;37
27/05/2024;41;19;32;42;47
25/05/2024;19;26;42;18;20
22/05/2024;46;23;21;32;20
20/05/2024;12;32;36;6;29
18/05/2024;14;34;37;15;45
15/05/2024;21;16;9;20;15
13/05/2024;26;13;25;12;18
11/05/2024;6;39;24;13;43
08/05/2024;7;34;6;3;36
06/05/2024;1;4;35;39;21
04/05/2024;2;16;19;12;6
01/05/2024;17;42;25;5;15
29/04/2024;49;47;20;3;30
27/04/2024;18;34;27;14;44
24/04/2024;38;25;40;41;39
22/04/2024;48;20;39;8;47
20/04/2024;13;10;22;24;16
17/04/2024;48;6;8;17;24
15/04/2024;24;2;21;36;31
13/04/2024;45;7;29;19;38
10/04/2024;18;1;33;9;39
08/04/2024;2;22;46;21;49
06/04/2024;27;2;36;43;6
03/04/2024;26;46;5;12;36
01/04/2024;9;17;15;12;26
30/03/2024;40;41;28;8;42
27/03/2024;28;45;2;15;23
25/03/2024;37;1;22;26;31
23/03/2024;47;49;20;34;32
20/03/2024;24;46;3;22;32
18/03/2024;36;48;30;20;40
16/03/2024;12;10;37;25;49
13/03/2024;5;29;4;10;13
11/03/2024;18;48;36;16;45
09/03/2024;29;28;25;7;35
06/03/2024;12;8;43;46;49
04/03/2024;25;8;18;27;37
02/03/2024;20;13;27;26;17
28/02/2024;2;38;46;27;43
26/02/2024;7;45;30;8;20
24/02/2024;14;45;37;22;25
21/02/2024;42;22;9;33;45
19/02/2024;35;23;16;42;8
17/02/2024;2;19;13;23;36
14/02/2024;28;15;3;46;36
12/02/2024;36;40;5;30;43
10/02/2024;44;15;37;34;40
07/02/2024;24;13;23;6;34
05/02/2024;36;3;33;34;42
03/02/2024;42;4;23;15;12
31/01/2024;34;2;13;15;31
29/01/2024;27;26;8;9;15
27/01/2024;47;2;14;33;30
24/01/2024;25;9;34;31;32
22/01/2024;32;29;37;20;5
20/01/2024;19;41;42;43;45
17/01/2024;29;8;37;22;39
15/01/2024;11;7;15;23;19
13/01/2024;12;15;21;29;48
10/01/2024;12;28;32;45;38
08/01/2024;6;48;11;49;46
06/01/2024;49;19;22;40;45
03/01/2024;36;1;45;9;14
01/01/2024;4;41;16;13;6
30/12/2023;36;12;7;11;38
27/12/2023;16;41;26;28;13
25/12/2023;9;32;7;47;1
23/12/2023;39;28;26;5;29
20/12/2023;2;3;29;30;31
18/12/2023;30;3;15;41;16
16/12/2023;1;15;12;30;44
13/12/2023;4;19;22;18;7
11/12/2023;25;48;16;12;49
09/12/2023;40;34;36;28;15
06/12/2023;29;1;43;37;27
04/12/2023;41;44;38;8;10
02/12/2023;25;19;12;11;28
29/11/2023;21;30;6;31;10
27/11/2023;19;8;46;26;9
25/11/2023;1;9;19;13;11
22/11/2023;18;45;41;4;17
20/11/2023;30;15;34;46;41
18/11/2023;12;21;48;29;20
15/11/2023;22;7;16;30;2
13/11/2023;46;39;23;45;13
11/11/2023;17;22;35;25;19
08/11/2023;2;49;1;36;14
06/11/2023;18;10;40;34;31
04/11/2023;20;13;46;40;25
01/11/2023;32;46;27;1;16
30/10/2023;30;34;8;1;13
28/10/2023;31;38;22;32;34
25/10/2023;22;12;30;35;33
23/10/2023;10;3;40;26;22
21/10/2023;47;14;28;3;25
18/10/2023;22;13;46;49;3
16/10/2023;6;7;37;25;47
14/10/2023;13;14;27;4;20
